"ID","NAME"
"a0F24000002hhbeEAA","Kostrzyn nad Odra"
"a0F24000002hhb0EAA","Bytom Odrzanski"
"a0F24000002hhYpEAI","Lubien Kujawski"
"a0F24000002hhY1EAI","Janiowiec Wielkopolski"
"a0F24000002hhduEAA","Pila"
"a0F24000002hhaMEAQ","Laszczow"
"a0F24000002hhXIEAY","Niemcza"
"a0F24000002hhUTEAY","Gdansk"
"a0F24000002hhXmEAI","Dobrzyn nad Wisla"
"a0F24000002hhUYEAY","Swinoujscie"
"a0F24000002hhVCEAY","Jelenia Gora"
"a0F24000002hhWPEAY","Wolow"
"a0F24000002hhcIEAQ","Zagan"
"a0F24000002hhTuEAI","Warszawa"
"a0F24000002hhWoEAI","Strzelin"
"a0F24000002hhWtEAI","Kudowa Zdroj"
"a0F24000002hhZJEAY","Krasnystaw"
"a0F24000002hhZiEAI","Terespol"
"a0F24000002hhccEAA","Wielun"
"a0F24000002hhX3EAI","Sobotka"
"a0F24000002hhWeEAI","Zabkowice Slaskie"
"a0F24000002hhY6EAI","Lipno"
"a0F24000002hhWFEAY","Wasosz"
"a0F24000002hhYVEAY","Wloclawek"
"a0F24000002hhYkEAI","lasin"
"a0F24000002hhVWEAY","Chojnow"
"a0F24000002hhWAEAY","Trzebnica"
"a0F24000002hhYGEAY","Pakosc"
"a0F24000002hhVbEAI","Duszniki-Zdroj"
"a0F24000002hhU9EAI","Lodz"
"a0F24000002hhWZEAY","Zarow"
"a0F24000002hhagEAA","Piaski"
"a0F24000002hhV2EAI","Legnica"
"a0F24000002hhYuEAI","Radziejow"
"a0F24000002hhZTEAY","Hrubieszow"
"a0F24000002hhVqEAI","Kamienna Gora"
"a0F24000002hhbyEAA","Krosno Odrzanskie"
"a0F24000002hhVgEAI","Jawor"
"a0F24000002hhUnEAI","Lublin"
"a0F24000002hhXNEAY","Polkowice"
"a0F24000002hhcrEAA","Radomsko"
"a0F24000002hhdzEAA","Kolobrzeg"
"a0F24000002hhaWEAQ","Modliborzyce"
"a0F24000002hhcXEAQ","Balchatow"
"a0F24000002hhYQEAY","Torun"
"a0F24000002hhYzEAI","Zamosc"
"a0F24000002hhUdEAI","Dabrowa Gornicza"
"a0F24000002hhbAEAQ","Gorzow Wielkopolski"
"a0F24000002hhbtEAA","Kozuchow"
"a0F24000002hhWUEAY","Zlotoryja"
"a0F24000002hhYBEAY","£abiszyn"
"a0F24000002hhYfEAI","Wabrzezno"
"a0F24000002hhbUEAQ","Czerwienski"
"a0F24000002hhc3EAA","Lubniewice"
"a0F24000002hhdVEAQ","Biala Rawska"
"a0F24000002hhUsEAI","Katowice"
"a0F24000002hhU4EAI","Krakow"
"a0F24000002hhU5EAI","Szczecin"
"a0F24000002hhX8EAI","lubomierz"
"a0F24000002hhVHEAY","Bardo"
"a0F24000002hhaqEAA","Annpol"
"a0F24000002hhbKEAQ","Gubin"
"a0F24000002hhd1EAA","Skierniewice"
"a0F24000002hhd6EAA","Opoczno"
"a0F24000002hhdQEAQ","Pajeczno"
"a0F24000002hhZ9EAI","Biala Podlaska"
"a0F24000002hhYaEAI","Znin"
"a0F24000002hhdLEAQ","Leczyca"
"a0F24000002hhVREAY","Boleslawiec"
"a0F24000002hhZYEAY","Opole Lubelskie"
"a0F24000002hhbPEAQ","Dobiegniew"
"a0F24000002hhcSEAQ","Tomaszow Mazowiecki"
"a0F24000002hha2EAA","Jozefow"
"a0F24000002hhW5EAI","Radkow"
"a0F24000002hhUEEAY","Wroclaw"
"a0F24000002hhaREAQ","Frampol"
"a0F24000002hhWyEAI","Bogoatynia"
"a0F24000002hhXhEAI","Chodecz"
"a0F24000002hhbFEAQ","Ilowa"
"a0F24000002hhc8EAA","Lubsko"
"a0F24000002hhcNEAQ","Zary"
"a0F24000002hhdBEAQ","Glowno"
"a0F24000002hhdpEAA","Oborniki"
"a0F24000002hhV7EAI","Walbrzych"
"a0F24000002hhUiEAI","Bydgoszcz"
"a0F24000002hhUJEAY","Zielona Gora"
"a0F24000002hhcDEAQ","Szprotawa"
"a0F24000002hhTkEAI","Poznan"
"a0F24000002hhVvEAI","Kowary"
"a0F24000002hhZEEAY","Tomaszow Lubelski"
